stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
ANDOU_01,26A,48.5796546901,7.7497772499,Ancienne Douane,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANEMO_01,27A,48.6431819147,7.7228012411,Anémones,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANEMO_02,27B,48.6432084537,7.723752235,Anémones,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANEMO_03,27C,48.6429341967,7.7258520138,Anémones,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANEMO_04,27D,48.6426913611,7.7257131928,Anémones,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANFOR_01,28A,48.5314623777,7.6314310498,Ancienne Forge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANFOR_02,28B,48.5316710616,7.6325077601,Ancienne Forge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANKAR_03,29A,48.576455528,7.7711613799,Ankara,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANKAR_04,29B,48.5766261187,7.7704846259,Ankara,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANSYN_01,30A,48.5852994149,7.7424119265,Ancienne Synagogue / Les Halles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ANSYN_02,30B,48.5853071386,7.7422086867,Ancienne Synagogue / Les Halles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARANS_01,31A,48.6596763124,7.7213191886,Vendenheim Artisans,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARANS_02,31B,48.6603365534,7.7210081561,Vendenheim Artisans,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_03,32C,48.5682220174,7.7763327947,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_05,32D,48.5686243449,7.7769226369,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_06,32E,48.5685059695,7.7764859183,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_09,32G,48.5691693985,7.7768092369,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_10,32B,48.5685608834,7.776328162,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARBRI_11,32H,48.5682027192,7.7776621976,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ARIBR_01,32I,48.5690459825,7.7767541248,Aristide Briand,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ATHEN_01,716A,48.6083188656,7.7095983011,Athènes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
ATHEN_02,716B,48.6081286596,7.7099327563,Athènes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AULIZ_01,755A,48.5779930093,7.7540127154,Austerlitz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AULIZ_02,755B,48.5781424065,7.7543456855,Austerlitz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AVENI_01,37A,48.5649450703,7.6983381807,Avenir,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
AVENI_02,37B,48.5648969186,7.6984943304,Avenir,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_01,38A,48.5451052845,7.7378255552,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_02,38B,48.5448978748,7.7380539471,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_03,38C,48.5448638373,7.7377496847,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAGGE_04,38D,48.5450601319,7.7380617376,Baggersee,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAILL_01,39A,48.6069822239,7.7799360947,Baillis,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BAILL_02,39B,48.6065606318,7.7800248996,Baillis,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALEE_01,40A,48.537129995,7.7098475396,Bâle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALEE_02,40B,48.5365391438,7.7098884881,Bâle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALLA_01,41A,48.5064725143,7.7172491217,Ballastière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALLA_02,41B,48.5058520335,7.7177056548,Ballastière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BANLI_01,42A,48.6009934929,7.6978392188,Banlieue,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BANLI_02,42B,48.6007376444,7.6981409031,Banlieue,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARRR_01,43A,48.6018320836,7.7451769453,Barr,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARRR_02,43B,48.6017351516,7.7452200459,Barr,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARTI_01,44A,48.5543644686,7.7402727885,Bartischgut,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARTI_02,44B,48.5549109755,7.7392896533,Bartischgut,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BELZW_01,46A,48.6192574788,7.7930242662,Belzwoerth,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BELZW_02,46B,48.6192901958,7.7923804521,Belzwoerth,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERGE_01,47A,48.5543623036,7.7620668179,Bergerac,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERGE_02,47B,48.5542861935,7.7631452696,Bergerac,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERLI_05,48D,48.6378058421,7.7117879705,Berlioz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERLI_06,48E,48.6376560189,7.7117706227,Berlioz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERST_01,49A,48.60018909,7.7117983801,Berstett,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERST_02,49B,48.6000861774,7.7116964652,Berstett,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BESIL_01,810A,48.6637092115,7.7627826109,Benjamin Silliman Junior,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BESIL_02,810B,48.6635639089,7.7629662014,Benjamin Silliman Junior,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHL_01,50A,48.6114327049,7.6866202801,Bethel,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHL_02,50B,48.6118638754,7.6869315133,Bethel,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHS_01,51A,48.5923243313,7.7613152268,Bethesda,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHS_02,51B,48.5923725669,7.76084715,Bethesda,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BIGAR_01,52A,48.6145197509,7.7445736347,Bischheim Gare,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BIGAR_02,52B,48.6143521314,7.745186152,Bischheim Gare,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BITCH_03,54B,48.6097348359,7.7532460168,Bitche,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BITCH_04,54A,48.609818021,7.7529902011,Bitche,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
